0.005 15.24562273 2070.6   3.865092488e+19 1.023392115e+19
0.015 19.47625826 2087.05   3.837881127e+19 1.017273231e+19
0.025 23.19094887 2099.99   3.816883299e+19 1.011412237e+19
0.035 26.48603417 2111.81   3.798378589e+19 1.006734439e+19
0.045 29.90633952 2123.04   3.780171861e+19 1.001915739e+19
0.055 32.69263683 2133.69   3.764569224e+19 9.965927175e+18
0.065 36.02597969 2144   3.744988711e+19 9.921219748e+18
0.075 39.05288286 2153.4   3.729491177e+19 9.876694175e+18
0.085 41.59993688 2163.12   3.713982474e+19 9.839213652e+18
0.095 44.67982173 2173.23   3.697341408e+19 9.784100458e+18
0.105 47.70559918 2183.24   3.681911604e+19 9.742420112e+18
0.115 50.57226802 2192.14   3.667397656e+19 9.701388426e+18
0.125 53.54056129 2201.96   3.652539904e+19 9.659219794e+18
0.135 56.3742034 2211.25   3.636211284e+19 9.62601785e+18
0.145 59.26945299 2220.59   3.621700772e+19 9.5908284e+18
0.155 61.90982698 2230.25   3.607030889e+19 9.544197904e+18
0.165 64.96499717 2238.94   3.592148221e+19 9.507267239e+18
0.175 67.93902608 2247.44   3.578730838e+19 9.465372104e+18
0.185 70.32307223 2257.44   3.565615734e+19 9.42884524e+18
0.195 73.38245348 2266.37   3.551416809e+19 9.394122596e+18
0.205 75.84896099 2275.5   3.537544218e+19 9.355959047e+18
0.215 78.60289537 2283.81   3.524645334e+19 9.319135776e+18
0.225 81.70407109 2292.36   3.512098702e+19 9.282663325e+18
0.235 84.55502557 2301.4   3.497947603e+19 9.249323916e+18
0.245 87.32116923 2309.51   3.486137121e+19 9.20992462e+18
0.255 89.67501265 2317.8   3.470929981e+19 9.188889705e+18
0.265 92.47026332 2326.85   3.458836981e+19 9.149216912e+18
0.275 95.34278285 2335.48   3.447383191e+19 9.117684587e+18
0.285 97.99809857 2344.38   3.433748299e+19 9.075929781e+18
0.295 100.5681834 2352.92   3.421166013e+19 9.0420892e+18
0.305 103.3880274 2361.5   3.408927387e+19 9.007698762e+18
0.315 106.0275083 2369.82   3.396820211e+19 8.982654469e+18
0.325 108.6927196 2378.32   3.384562255e+19 8.947263119e+18
0.335 111.7989355 2387.08   3.372432598e+19 8.913124698e+18
0.345 114.1225572 2394.84   3.360784782e+19 8.879125174e+18
0.355 116.8466674 2403.35   3.349912066e+19 8.852823656e+18
0.365 119.5973844 2411.64   3.340259059e+19 8.818384532e+18
0.375 122.1912298 2420.11   3.327958861e+19 8.789885015e+18
0.385 124.5872411 2428.41   3.316576953e+19 8.757609524e+18
0.395 127.4232116 2436.32   3.306942275e+19 8.730845495e+18
0.405 130.0603289 2444.71   3.295952427e+19 8.699008171e+18
0.415 132.7794112 2452.63   3.284342987e+19 8.666980402e+18
0.425 135.0529406 2461.29   3.273662577e+19 8.639530483e+18
0.435 138.126947 2469.35   3.262756783e+19 8.605563893e+18
0.445 140.5242774 2476.9   3.252600743e+19 8.57786482e+18
0.455 142.9584748 2485.36   3.243101668e+19 8.542008095e+18
