# Force coefficients
# liftDir        : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# dragDir        : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# pitchAxis      : (0.0000000000e+00 0.0000000000e+00 1.0000000000e+00)
# magUInf        : 5.4100000000e+03
# lRef           : 6.6236897090e-01
# Aref           : 3.0629317000e-02
# CofR           : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#                
# Time           	Cm               	Cd               	Cl               	Cl(f)            	Cl(r)            
0.00140000012    	-6.0038196366e-01	9.0060709646e-01	-3.2994658031e-01	-7.6535525382e-01	4.3540867351e-01
0.001400000264   	-6.0038198820e-01	9.0060713722e-01	-3.2994659765e-01	-7.6535528703e-01	4.3540868938e-01
0.001400000437   	-6.0038201760e-01	9.0060718601e-01	-3.2994661842e-01	-7.6535532681e-01	4.3540870839e-01
0.001400000644   	-6.0038205279e-01	9.0060724443e-01	-3.2994664330e-01	-7.6535537443e-01	4.3540873114e-01
0.001400000893   	-6.0038209489e-01	9.0060731431e-01	-3.2994667308e-01	-7.6535543143e-01	4.3540875835e-01
0.001400001192   	-6.0038214525e-01	9.0060739786e-01	-3.2994670872e-01	-7.6535549962e-01	4.3540879089e-01
0.00140000155    	-6.0038220545e-01	9.0060749769e-01	-3.2994675136e-01	-7.6535558113e-01	4.3540882977e-01
0.00140000198    	-6.0038227733e-01	9.0060761688e-01	-3.2994680232e-01	-7.6535567849e-01	4.3540887617e-01
0.001400002496   	-6.0038236310e-01	9.0060775901e-01	-3.2994686320e-01	-7.6535579470e-01	4.3540893150e-01
0.001400003115   	-6.0038246531e-01	9.0060792831e-01	-3.2994693585e-01	-7.6535593323e-01	4.3540899739e-01
0.001400003858   	-6.0038258697e-01	9.0060812967e-01	-3.2994702245e-01	-7.6535609819e-01	4.3540907574e-01
0.00140000475    	-6.0038273153e-01	9.0060836877e-01	-3.2994712555e-01	-7.6535629430e-01	4.3540916875e-01
0.001400005819   	-6.0038290299e-01	9.0060865211e-01	-3.2994724813e-01	-7.6535652705e-01	4.3540927893e-01
0.001400007103   	-6.0038310590e-01	9.0060898706e-01	-3.2994739359e-01	-7.6535680270e-01	4.3540940911e-01
