# Force          
# CofR           : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#                
# Time           	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1.4000001200e-03	(7.3469983512e+03 -2.6916476575e+03 6.0012657703e-09)	(7.3463770251e+03 -2.6924267241e+03 1.3777641465e-16)	(6.2132606285e-01 7.7906659139e-01 6.0012656325e-09)
1.4000002640e-03	(7.3469986836e+03 -2.6916477989e+03 1.3202798154e-08)	(7.3463773578e+03 -2.6924268655e+03 1.3777642574e-16)	(6.2132586825e-01 7.7906654199e-01 1.3202798017e-08)
1.4000004368e-03	(7.3469990817e+03 -2.6916479684e+03 2.1844656632e-08)	(7.3463777561e+03 -2.6924270349e+03 1.3777643903e-16)	(6.2132563470e-01 7.7906648259e-01 2.1844656494e-08)
1.4000006442e-03	(7.3469995582e+03 -2.6916481713e+03 3.2214735845e-08)	(7.3463782329e+03 -2.6924272377e+03 1.3777645494e-16)	(6.2132535416e-01 7.7906641122e-01 3.2214735707e-08)
1.4000008930e-03	(7.3470001283e+03 -2.6916484143e+03 4.4658768360e-08)	(7.3463788033e+03 -2.6924274806e+03 1.3777647398e-16)	(6.2132501753e-01 7.7906632557e-01 4.4658768222e-08)
1.4000011916e-03	(7.3470008099e+03 -2.6916487051e+03 5.9591368685e-08)	(7.3463794853e+03 -2.6924277713e+03 1.3777649677e-16)	(6.2132461358e-01 7.7906622279e-01 5.9591368547e-08)
1.4000015499e-03	(7.3470016244e+03 -2.6916490529e+03 7.7510359417e-08)	(7.3463803002e+03 -2.6924281190e+03 1.3777652402e-16)	(6.2132412886e-01 7.7906609944e-01 7.7510359279e-08)
1.4000019799e-03	(7.3470025966e+03 -2.6916494687e+03 9.9013269852e-08)	(7.3463812731e+03 -2.6924285346e+03 1.3777655659e-16)	(6.2132354721e-01 7.7906595140e-01 9.9013269714e-08)
1.4000024959e-03	(7.3470037561e+03 -2.6916499653e+03 1.2481604970e-07)	(7.3463824333e+03 -2.6924290310e+03 1.3777659548e-16)	(6.2132284926e-01 7.7906577375e-01 1.2481604956e-07)
1.4000031150e-03	(7.3470051372e+03 -2.6916505579e+03 1.5577835933e-07)	(7.3463838152e+03 -2.6924296234e+03 1.3777664187e-16)	(6.2132201179e-01 7.7906556054e-01 1.5577835919e-07)
1.4000038580e-03	(7.3470067799e+03 -2.6916512644e+03 1.9293257377e-07)	(7.3463854589e+03 -2.6924303297e+03 1.3777669716e-16)	(6.2132100689e-01 7.7906530465e-01 1.9293257363e-07)
1.4000047496e-03	(7.3470087304e+03 -2.6916521055e+03 2.3751550354e-07)	(7.3463874106e+03 -2.6924311705e+03 1.3777676295e-16)	(6.2131980114e-01 7.7906499755e-01 2.3751550340e-07)
1.4000058195e-03	(7.3470110418e+03 -2.6916531054e+03 2.9101672803e-07)	(7.3463897235e+03 -2.6924321700e+03 1.3777684113e-16)	(6.2131835428e-01 7.7906462892e-01 2.9101672790e-07)
1.4000071034e-03	(7.3470137743e+03 -2.6916542921e+03 3.5521790990e-07)	(7.3463924577e+03 -2.6924333563e+03 1.3777693386e-16)	(6.2131661821e-01 7.7906418645e-01 3.5521790976e-07)
1.4000086441e-03	(7.3470169953e+03 -2.6916556973e+03 4.3225495598e-07)	(7.3463956808e+03 -2.6924347610e+03 1.3777704360e-16)	(6.2131453523e-01 7.7906365534e-01 4.3225495585e-07)
1.4000104930e-03	(7.3470207796e+03 -2.6916573574e+03 5.2469881906e-07)	(7.3463994676e+03 -2.6924364204e+03 1.3777717317e-16)	(6.2131203595e-01 7.7906301777e-01 5.2469881892e-07)
1.4000127119e-03	(7.3470252089e+03 -2.6916593131e+03 6.3563881922e-07)	(7.3464038998e+03 -2.6924383754e+03 1.3777732571e-16)	(6.2130903702e-01 7.7906225227e-01 6.3563881909e-07)
1.4000153745e-03	(7.3470303685e+03 -2.6916616091e+03 7.6875377285e-07)	(7.3464090631e+03 -2.6924406704e+03 1.3777750468e-16)	(6.2130543923e-01 7.7906133325e-01 7.6875377271e-07)
