# Wall shear stress
# Time           	patch            	min              	max              
1.4400000000e-03	object	(-6.9043041003e+01 -5.8323664454e+01 -9.4813416220e-02)	(-3.3784736370e-01 -1.4418746235e-01 6.3447607479e-04)
1.4500000000e-03	object	(-6.9006128624e+01 -5.8157273676e+01 -1.1454903897e-01)	(-3.2889452622e-01 -1.3818849608e-01 8.8125353795e-04)
1.4600000000e-03	object	(-6.8955654931e+01 -5.7950439722e+01 -1.3301492496e-01)	(-3.0932092915e-01 -1.3346492473e-01 1.1392260158e-03)
1.4700000000e-03	object	(-6.8887501870e+01 -5.7711592918e+01 -1.5032693262e-01)	(-2.8744216878e-01 -1.2979179981e-01 1.3909078767e-03)
1.4800000000e-03	object	(-6.8804189786e+01 -5.7453451899e+01 -1.6657557777e-01)	(-2.7007202660e-01 -1.2699607496e-01 1.6261704867e-03)
1.4900000000e-03	object	(-6.8712760842e+01 -5.7188675273e+01 -1.8184781571e-01)	(-2.5666776288e-01 -1.2541409995e-01 1.8391303713e-03)
1.5000000000e-03	object	(-6.8611326974e+01 -5.6925795046e+01 -1.9623655600e-01)	(-2.3601448967e-01 -1.2640046394e-01 2.0255227665e-03)
1.5100000000e-03	object	(-6.8499564815e+01 -5.6669484886e+01 -2.0981269573e-01)	(-2.1494973730e-01 -1.2083636655e-01 2.1869714706e-03)
1.5200000000e-03	object	(-6.8382620812e+01 -5.6418715338e+01 -2.2265229648e-01)	(-2.5024465853e-01 -1.1206688243e-01 2.3312464359e-03)
1.5300000000e-03	object	(-6.8265895079e+01 -5.6168218318e+01 -2.3482903911e-01)	(-1.8491819999e-01 -1.2056200450e-01 2.4457377668e-03)
1.5400000000e-03	object	(-6.8153334355e+01 -5.5929516123e+01 -2.4641974005e-01)	(-2.1657060716e-01 -1.1945065988e-01 2.5463581073e-03)
1.5500000000e-03	object	(-6.8013737536e+01 -5.5718627318e+01 -2.5754021017e-01)	(-1.9147102638e-01 -1.0887877663e-01 2.6244411171e-03)
1.5600000000e-03	object	(-6.7897230201e+01 -5.5519257847e+01 -2.6875133733e-01)	(-1.9874993922e-01 -1.1404597459e-01 2.6928496196e-03)
1.5700000000e-03	object	(-6.7836941196e+01 -5.5319390617e+01 -2.7910364873e-01)	(-1.9370920285e-01 -1.1027720517e-01 2.7475646193e-03)
1.5800000000e-03	object	(-6.7772874822e+01 -5.5138236818e+01 -2.8862321703e-01)	(-1.8867192232e-01 -1.0660523073e-01 2.7929250997e-03)
1.5900000000e-03	object	(-6.7687390036e+01 -5.4971628328e+01 -2.9735466365e-01)	(-1.8725378528e-01 -1.0686353845e-01 2.8315312224e-03)
1.6000000000e-03	object	(-6.7628926944e+01 -5.4798730639e+01 -3.0534787680e-01)	(-1.8721783682e-01 -1.0455843517e-01 2.8660378907e-03)
1.6100000000e-03	object	(-6.7571517619e+01 -5.4613369773e+01 -3.1264685380e-01)	(-1.8715945309e-01 -1.0254634296e-01 2.8981922136e-03)
1.6200000000e-03	object	(-6.7504427771e+01 -5.4419913740e+01 -3.1929267055e-01)	(-1.8738094533e-01 -1.0153402113e-01 2.9291093935e-03)
1.6300000000e-03	object	(-6.7432549542e+01 -5.4222785310e+01 -3.2532698345e-01)	(-1.8745665914e-01 -1.0017090387e-01 2.9594971840e-03)
1.6400000000e-03	object	(-6.7358871009e+01 -5.4024178794e+01 -3.3079100625e-01)	(-1.8688211728e-01 -9.9036204524e-02 2.9895152495e-03)
1.6500000000e-03	object	(-6.7285048889e+01 -5.3827638701e+01 -3.3572314351e-01)	(-1.8573194874e-01 -9.8128013027e-02 3.0193324563e-03)
1.6600000000e-03	object	(-6.7212830263e+01 -5.3647656823e+01 -3.4016456374e-01)	(-1.8499156669e-01 -9.7232913179e-02 3.0487052241e-03)
1.6700000000e-03	object	(-6.7136378377e+01 -5.3486039807e+01 -3.4417490212e-01)	(-1.8473467871e-01 -9.6506805127e-02 3.0780250433e-03)
1.6800000000e-03	object	(-6.7041265290e+01 -5.3315929525e+01 -3.4780827518e-01)	(-1.8844618248e-01 -9.5871069321e-02 3.1069639351e-03)
1.6900000000e-03	object	(-6.6963401640e+01 -5.3138009670e+01 -3.5108053703e-01)	(-1.8921886735e-01 -9.5296627992e-02 3.1340300222e-03)
1.7000000000e-03	object	(-6.6902097587e+01 -5.2973513413e+01 -3.5399970189e-01)	(-1.7846656092e-01 -9.4882942068e-02 3.1614479492e-03)
1.7100000000e-03	object	(-6.6847021971e+01 -5.2828656426e+01 -3.5661167522e-01)	(-1.9205256583e-01 -9.4360183902e-02 3.1886302159e-03)
1.7200000000e-03	object	(-6.6795460534e+01 -5.2679893541e+01 -3.5899628697e-01)	(-1.8196287440e-01 -9.4062829360e-02 3.2107285750e-03)
1.7300000000e-03	object	(-6.6717410434e+01 -5.2547210649e+01 -3.6115574820e-01)	(-1.8707381571e-01 -9.3703216866e-02 3.2394458962e-03)
1.7400000000e-03	object	(-6.6652599558e+01 -5.2440491597e+01 -3.6308414456e-01)	(-1.8067714217e-01 -9.3448829117e-02 3.2560776134e-03)
1.7500000000e-03	object	(-6.6629803723e+01 -5.2337193982e+01 -3.6483327771e-01)	(-1.9597757128e-01 -9.3074440802e-02 3.2844963303e-03)
1.7600000000e-03	object	(-6.6610595241e+01 -5.2222717100e+01 -3.6645803875e-01)	(-1.6463682085e-01 -9.3133564159e-02 3.3013601680e-03)
1.7700000000e-03	object	(-6.6571282871e+01 -5.2136069673e+01 -3.6794334063e-01)	(-2.0255304058e-01 -9.2506281537e-02 3.3155258755e-03)
1.7800000000e-03	object	(-6.6538545599e+01 -5.2068995272e+01 -3.6929747355e-01)	(-1.7994930571e-01 -9.2631726444e-02 3.3453040515e-03)
1.7900000000e-03	object	(-6.6536326178e+01 -5.2014407270e+01 -3.7055126871e-01)	(-1.6576906416e-01 -9.2561658252e-02 3.3514282534e-03)
1.8000000000e-03	object	(-6.6535279018e+01 -5.1943566114e+01 -3.7174715881e-01)	(-1.9726053947e-01 -9.1985905147e-02 3.3590565451e-03)
1.8100000000e-03	object	(-6.6532635458e+01 -5.1880592153e+01 -3.7288595900e-01)	(-1.9383003792e-01 -9.1978341211e-02 3.3840556378e-03)
1.8200000000e-03	object	(-6.6520364266e+01 -5.1831139972e+01 -3.7396478686e-01)	(-1.6447357310e-01 -9.2309219135e-02 3.4011834956e-03)
1.8300000000e-03	object	(-6.6523468455e+01 -5.1793305627e+01 -3.7499724633e-01)	(-1.7380165691e-01 -9.1896029015e-02 3.3968613817e-03)
1.8400000000e-03	object	(-6.6534057077e+01 -5.1767150891e+01 -3.7599864481e-01)	(-1.9211038719e-01 -9.1487818279e-02 3.4009696920e-03)
1.8500000000e-03	object	(-6.6547935647e+01 -5.1750945383e+01 -3.7698263522e-01)	(-1.9012516859e-01 -9.1530003938e-02 3.4167279267e-03)
1.8600000000e-03	object	(-6.6564988808e+01 -5.1731083478e+01 -3.7796523125e-01)	(-1.8593340073e-01 -9.1637369890e-02 3.4346503031e-03)
1.8700000000e-03	object	(-6.6584060714e+01 -5.1703803456e+01 -3.7894749271e-01)	(-1.6765954948e-01 -9.1895023805e-02 3.4442169624e-03)
1.8800000000e-03	object	(-6.6601574152e+01 -5.1682871446e+01 -3.7991867518e-01)	(-1.7106569529e-01 -9.1476972357e-02 3.4371601197e-03)
1.8900000000e-03	object	(-6.6620988850e+01 -5.1665844348e+01 -3.8088145798e-01)	(-1.8647738956e-01 -9.1005040660e-02 3.4340607050e-03)
1.9000000000e-03	object	(-6.6647157799e+01 -5.1652525519e+01 -3.8184145092e-01)	(-1.8609494730e-01 -9.1016086268e-02 3.4402010353e-03)
1.9100000000e-03	object	(-6.6675865235e+01 -5.1644515394e+01 -3.8280337405e-01)	(-1.8481664279e-01 -9.1086919083e-02 3.4495340662e-03)
1.9200000000e-03	object	(-6.6705652485e+01 -5.1642415885e+01 -3.8377077807e-01)	(-1.8388180093e-01 -9.1123685660e-02 3.4593826991e-03)
1.9300000000e-03	object	(-6.6737440513e+01 -5.1646810063e+01 -3.8474485059e-01)	(-1.8291553918e-01 -9.1116062792e-02 3.4685427629e-03)
1.9400000000e-03	object	(-6.6771530608e+01 -5.1657329942e+01 -3.8572677978e-01)	(-1.7887378987e-01 -9.1181247588e-02 3.4754880730e-03)
1.9500000000e-03	object	(-6.6804812981e+01 -5.1671436708e+01 -3.8671636772e-01)	(-1.6869773715e-01 -9.1185525105e-02 3.4738044691e-03)
1.9600000000e-03	object	(-6.6836131248e+01 -5.1681636893e+01 -3.8770792216e-01)	(-1.7884828490e-01 -9.0510070066e-02 3.4670312413e-03)
1.9700000000e-03	object	(-6.6871069759e+01 -5.1686886928e+01 -3.8869397117e-01)	(-1.8239212838e-01 -9.0300575562e-02 3.4648198180e-03)
1.9800000000e-03	object	(-6.6909540870e+01 -5.1695780495e+01 -3.8967050129e-01)	(-1.8292028959e-01 -9.0303794750e-02 3.4667810136e-03)
1.9900000000e-03	object	(-6.6942462743e+01 -5.1710129625e+01 -3.9063602434e-01)	(-1.8258176112e-01 -9.0316628425e-02 3.4712297092e-03)
2.0000000000e-03	object	(-6.6970936756e+01 -5.1727763490e+01 -3.9158599552e-01)	(-1.8090649180e-01 -9.0305112188e-02 3.4759391403e-03)
2.0100000000e-03	object	(-6.7003674292e+01 -5.1746224471e+01 -3.9251390024e-01)	(-1.7992698239e-01 -9.0254647972e-02 3.4792340252e-03)
2.0200000000e-03	object	(-6.7044450171e+01 -5.1762502593e+01 -3.9341625786e-01)	(-1.8038371256e-01 -9.0190669978e-02 3.4814368007e-03)
2.0300000000e-03	object	(-6.7089470005e+01 -5.1774844993e+01 -3.9429307731e-01)	(-1.8129413974e-01 -9.0144255863e-02 3.4838416847e-03)
2.0400000000e-03	object	(-6.7132238822e+01 -5.1784168020e+01 -3.9514482544e-01)	(-1.8134993728e-01 -9.0118672852e-02 3.4869786950e-03)
2.0500000000e-03	object	(-6.7171507998e+01 -5.1791804246e+01 -3.9597116848e-01)	(-1.8051405841e-01 -9.0088735395e-02 3.4901141135e-03)
2.0600000000e-03	object	(-6.7209598026e+01 -5.1797406692e+01 -3.9677092156e-01)	(-1.7974822302e-01 -9.0031852895e-02 3.4923657652e-03)
2.0700000000e-03	object	(-6.7247660015e+01 -5.1802011162e+01 -3.9754305147e-01)	(-1.7946843015e-01 -8.9947470299e-02 3.4936294369e-03)
2.0800000000e-03	object	(-6.7284739942e+01 -5.1807991327e+01 -3.9828829015e-01)	(-1.7946417205e-01 -8.9847646238e-02 3.4942996782e-03)
2.0900000000e-03	object	(-6.7318169646e+01 -5.1816439174e+01 -3.9900853854e-01)	(-1.7959668510e-01 -8.9745431293e-02 3.4947806983e-03)
2.1000000000e-03	object	(-6.7346321449e+01 -5.1827752986e+01 -3.9970521336e-01)	(-1.7987358812e-01 -8.9651855524e-02 3.4954211609e-03)
2.1100000000e-03	object	(-6.7369888278e+01 -5.1842030862e+01 -4.0037904834e-01)	(-1.8006686459e-01 -8.9572967292e-02 3.4964898148e-03)
2.1200000000e-03	object	(-6.7390523722e+01 -5.1858778937e+01 -4.0103038619e-01)	(-1.7986542677e-01 -8.9503606107e-02 3.4979152892e-03)
2.1300000000e-03	object	(-6.7409685928e+01 -5.1877328405e+01 -4.0165885495e-01)	(-1.7940920388e-01 -8.9432405621e-02 3.4992870468e-03)
2.1400000000e-03	object	(-6.7428362230e+01 -5.1897465321e+01 -4.0226328117e-01)	(-1.7902988112e-01 -8.9356172411e-02 3.5002754357e-03)
2.1500000000e-03	object	(-6.7447284220e+01 -5.1919250382e+01 -4.0284215257e-01)	(-1.7883724719e-01 -8.9281253222e-02 3.5008532811e-03)
2.1600000000e-03	object	(-6.7466656269e+01 -5.1942104215e+01 -4.0339407453e-01)	(-1.7878506940e-01 -8.9214143238e-02 3.5011847756e-03)
2.1700000000e-03	object	(-6.7486567839e+01 -5.1965371407e+01 -4.0391748011e-01)	(-1.7877255717e-01 -8.9154445604e-02 3.5014604264e-03)
2.1800000000e-03	object	(-6.7506777193e+01 -5.1988477254e+01 -4.0441021643e-01)	(-1.7870533148e-01 -8.9094143736e-02 3.5017812578e-03)
2.1900000000e-03	object	(-6.7527036607e+01 -5.2010715934e+01 -4.0486926320e-01)	(-1.7857148916e-01 -8.9024157164e-02 3.5021377614e-03)
2.2000000000e-03	object	(-6.7547855136e+01 -5.2031295781e+01 -4.0529152324e-01)	(-1.7843471899e-01 -8.8942939398e-02 3.5024884575e-03)
2.2100000000e-03	object	(-6.7568805131e+01 -5.2049389014e+01 -4.0567421396e-01)	(-1.7834899824e-01 -8.8857996250e-02 3.5028410037e-03)
2.2200000000e-03	object	(-6.7589709389e+01 -5.2064223757e+01 -4.0601512401e-01)	(-1.7830570977e-01 -8.8779753228e-02 3.5032501139e-03)
2.2300000000e-03	object	(-6.7610503842e+01 -5.2075810487e+01 -4.0631260498e-01)	(-1.7826488413e-01 -8.8716206309e-02 3.5037579577e-03)
2.2400000000e-03	object	(-6.7630703466e+01 -5.2084116275e+01 -4.0656610216e-01)	(-1.7820464243e-01 -8.8672142105e-02 3.5043604396e-03)
2.2500000000e-03	object	(-6.7650491550e+01 -5.2089071647e+01 -4.0677634130e-01)	(-1.7812701771e-01 -8.8647835475e-02 3.5050225942e-03)
2.2600000000e-03	object	(-6.7669623796e+01 -5.2091163558e+01 -4.0694563092e-01)	(-1.7804149246e-01 -8.8634388513e-02 3.5057060333e-03)
2.2700000000e-03	object	(-6.7687238212e+01 -5.2090921584e+01 -4.0707772570e-01)	(-1.7796110559e-01 -8.8614962431e-02 3.5063858790e-03)
2.2800000000e-03	object	(-6.7702778354e+01 -5.2088833164e+01 -4.0717731187e-01)	(-1.7790146774e-01 -8.8578059754e-02 3.5070631657e-03)
2.2900000000e-03	object	(-6.7715968442e+01 -5.2085645039e+01 -4.0724969721e-01)	(-1.7786794803e-01 -8.8528312607e-02 3.5077685722e-03)
2.3000000000e-03	object	(-6.7725998362e+01 -5.2081978192e+01 -4.0730007423e-01)	(-1.7784881577e-01 -8.8479664994e-02 3.5085446081e-03)
2.3100000000e-03	object	(-6.7733574460e+01 -5.2078248715e+01 -4.0733321359e-01)	(-1.7782657887e-01 -8.8440154773e-02 3.5094168733e-03)
2.3200000000e-03	object	(-6.7738973817e+01 -5.2074939420e+01 -4.0735303572e-01)	(-1.7779209652e-01 -8.8407864990e-02 3.5103799540e-03)
2.3300000000e-03	object	(-6.7742240492e+01 -5.2072235209e+01 -4.0736277911e-01)	(-1.7774915426e-01 -8.8379545973e-02 3.5114066348e-03)
2.3400000000e-03	object	(-6.7743904845e+01 -5.2070265473e+01 -4.0736478699e-01)	(-1.7770997134e-01 -8.8357020283e-02 3.5124686601e-03)
2.3500000000e-03	object	(-6.7744622067e+01 -5.2069049432e+01 -4.0736060012e-01)	(-1.7768511997e-01 -8.8343771122e-02 3.5135523620e-03)
2.3600000000e-03	object	(-6.7744756628e+01 -5.2068415807e+01 -4.0735126136e-01)	(-1.7767529749e-01 -8.8338842046e-02 3.5146596139e-03)
2.3700000000e-03	object	(-6.7744317300e+01 -5.2068298000e+01 -4.0733700434e-01)	(-1.7767223386e-01 -8.8336366180e-02 3.5157969708e-03)
2.3800000000e-03	object	(-6.7743693657e+01 -5.2068652434e+01 -4.0731772504e-01)	(-1.7766680857e-01 -8.8330646383e-02 3.5169645119e-03)
2.3900000000e-03	object	(-6.7742981250e+01 -5.2069410345e+01 -4.0729326349e-01)	(-1.7765609630e-01 -8.8321325571e-02 3.5181534004e-03)
2.4000000000e-03	object	(-6.7742309033e+01 -5.2070413535e+01 -4.0726322143e-01)	(-1.7764424897e-01 -8.8313656900e-02 3.5193519257e-03)
2.4100000000e-03	object	(-6.7741830597e+01 -5.2071445809e+01 -4.0722724752e-01)	(-1.7763840141e-01 -8.8313440897e-02 3.5205521530e-03)
2.4200000000e-03	object	(-6.7741484926e+01 -5.2072537339e+01 -4.0718499862e-01)	(-1.7764332341e-01 -8.8321762309e-02 3.5217528139e-03)
2.4300000000e-03	object	(-6.7740938223e+01 -5.2073751885e+01 -4.0713617156e-01)	(-1.7765860325e-01 -8.8334905198e-02 3.5229577139e-03)
2.4400000000e-03	object	(-6.7740269564e+01 -5.2074910716e+01 -4.0708071073e-01)	(-1.7768020187e-01 -8.8348825385e-02 3.5241725342e-03)
2.4500000000e-03	object	(-6.7739592318e+01 -5.2075926713e+01 -4.0701851629e-01)	(-1.7770479535e-01 -8.8362686659e-02 3.5254025835e-03)
