# Moment         
# CofR           : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#                
# Time           	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1.4000001200e-03	(3.0645006611e-09 -7.5691839555e-10 -3.2441594684e+03)	(-1.1951387442e-17 -1.7454109410e-16 -3.2438885478e+03)	(3.0645006731e-09 -7.5691822101e-10 -2.7092061023e-01)
1.4000002640e-03	(6.7419080959e-09 -1.6652216904e-09 -3.2441596010e+03)	(-1.1951386750e-17 -1.7454110382e-16 -3.2438886805e+03)	(6.7419081079e-09 -1.6652215159e-09 -2.7092052378e-01)
1.4000004368e-03	(1.1154806558e-08 -2.7551877025e-09 -3.2441597598e+03)	(-1.1951385918e-17 -1.7454111546e-16 -3.2438888394e+03)	(1.1154806570e-08 -2.7551875279e-09 -2.7092042002e-01)
1.4000006442e-03	(1.6450206939e-08 -4.0631272773e-09 -3.2441599500e+03)	(-1.1951384915e-17 -1.7454112940e-16 -3.2438890297e+03)	(1.6450206951e-08 -4.0631271028e-09 -2.7092029535e-01)
1.4000008930e-03	(2.2804654473e-08 -5.6326460165e-09 -3.2441601775e+03)	(-1.1951383707e-17 -1.7454114607e-16 -3.2438892573e+03)	(2.2804654485e-08 -5.6326458419e-09 -2.7092014576e-01)
1.4000011916e-03	(3.0429868205e-08 -7.5160371560e-09 -3.2441604496e+03)	(-1.1951382249e-17 -1.7454116601e-16 -3.2438895296e+03)	(3.0429868217e-08 -7.5160369815e-09 -2.7091996625e-01)
1.4000015499e-03	(3.9580056428e-08 -9.7760883825e-09 -3.2441607749e+03)	(-1.1951380489e-17 -1.7454118984e-16 -3.2438898551e+03)	(3.9580056440e-08 -9.7760882079e-09 -2.7091975084e-01)
1.4000019799e-03	(5.0560341422e-08 -1.2488162612e-08 -3.2441611633e+03)	(-1.1951378360e-17 -1.7454121828e-16 -3.2438902438e+03)	(5.0560341434e-08 -1.2488162438e-08 -2.7091949236e-01)
1.4000024959e-03	(6.3736315256e-08 -1.5742558096e-08 -3.2441616267e+03)	(-1.1951375783e-17 -1.7454125221e-16 -3.2438907075e+03)	(6.3736315268e-08 -1.5742557922e-08 -2.7091918221e-01)
1.4000031150e-03	(7.9546953752e-08 -1.9647697920e-08 -3.2441621790e+03)	(-1.1951372657e-17 -1.7454129263e-16 -3.2438912602e+03)	(7.9546953764e-08 -1.9647697745e-08 -2.7091881006e-01)
1.4000038580e-03	(9.8519426690e-08 -2.4333787770e-08 -3.2441628364e+03)	(-1.1951368859e-17 -1.7454134072e-16 -3.2438919180e+03)	(9.8519426702e-08 -2.4333787595e-08 -2.7091836351e-01)
1.4000047496e-03	(1.2128529519e-07 -2.9956816215e-08 -3.2441636175e+03)	(-1.1951364235e-17 -1.7454139782e-16 -3.2438926997e+03)	(1.2128529521e-07 -2.9956816040e-08 -2.7091782770e-01)
1.4000058195e-03	(1.4860519185e-07 -3.6704649990e-08 -3.2441645440e+03)	(-1.1951358588e-17 -1.7454146551e-16 -3.2438936268e+03)	(1.4860519186e-07 -3.6704649815e-08 -2.7091718477e-01)
1.4000071034e-03	(1.8138889496e-07 -4.4801991417e-08 -3.2441656405e+03)	(-1.1951351674e-17 -1.7454154553e-16 -3.2438947241e+03)	(1.8138889498e-07 -4.4801991243e-08 -2.7091641333e-01)
