# Wall shear stress
# Time           	patch            	min              	max              
1.0000000000e-06	object	(8.2877045398e-08 -1.5601513555e-04 -1.0567330593e-15)	(3.6755915327e-04 -3.0211896977e-07 5.5453217075e-16)
2.0000000000e-06	object	(4.5156111737e-07 -6.1845179495e-04 -1.5841650103e-15)	(1.4489899588e-03 -1.3098465673e-06 7.7040109254e-16)
3.0000000000e-06	object	(1.1258405169e-06 -1.3001005104e-03 -1.8111657468e-15)	(3.0238962921e-03 -2.9622127790e-06 8.6874389716e-16)
4.0000000000e-06	object	(2.1128785060e-06 -2.1245478890e-03 -2.0693461051e-15)	(4.9020569830e-03 -5.1569958555e-06 1.2892207355e-15)
5.0000000000e-06	object	(3.4146420957e-06 -3.0306463200e-03 -2.2539555915e-15)	(6.9320874696e-03 -7.7759213744e-06 1.1546738190e-15)
6.0000000000e-06	object	(5.0225181628e-06 -3.9689057858e-03 -2.4807767490e-15)	(8.9932864894e-03 -1.0691993422e-05 1.3022631618e-15)
7.0000000000e-06	object	(6.9259435620e-06 -4.9017619048e-03 -2.6385863320e-15)	(1.0997845671e-02 -1.3785422348e-05 1.3890218038e-15)
8.0000000000e-06	object	(9.1082710671e-06 -5.8012933491e-03 -2.9297704444e-15)	(1.2882114543e-02 -1.6945284916e-05 1.3751702105e-15)
9.0000000000e-06	object	(1.1549039008e-05 -6.6486622075e-03 -3.2201828480e-15)	(1.4603565427e-02 -2.0074534258e-05 1.5241956921e-15)
1.0000000000e-05	object	(1.4225052296e-05 -7.4302493358e-03 -3.4747056905e-15)	(1.6136969189e-02 -2.3092152462e-05 1.8615326302e-15)
1.1000000000e-05	object	(1.7111315198e-05 -8.1382213341e-03 -3.7328092310e-15)	(1.7470877515e-02 -2.5933842971e-05 1.9772962395e-15)
1.2000000000e-05	object	(2.0181837011e-05 -8.7692254274e-03 -4.0192088888e-15)	(1.8604491421e-02 -2.8551663897e-05 2.0928060197e-15)
1.3000000000e-05	object	(2.3410309172e-05 -9.3231636270e-03 -4.0770763990e-15)	(1.9556134142e-02 -3.0912916381e-05 1.9064861242e-15)
1.4000000000e-05	object	(2.6770661563e-05 -9.8027315518e-03 -4.4291738734e-15)	(2.0374049466e-02 -3.2998548994e-05 1.9405485916e-15)
1.5000000000e-05	object	(3.0237509845e-05 -1.0212157673e-02 -4.5834848425e-15)	(2.1028241885e-02 -3.4801287604e-05 1.9892081925e-15)
1.6000000000e-05	object	(3.3786506826e-05 -1.0555907135e-02 -4.7706096308e-15)	(2.1535387045e-02 -3.6323654059e-05 2.0600252363e-15)
1.7000000000e-05	object	(3.7394610794e-05 -1.0839692246e-02 -4.8245614896e-15)	(2.1913350389e-02 -3.7575996740e-05 2.1067773961e-15)
1.8000000000e-05	object	(4.1040282559e-05 -1.1069503410e-02 -5.0112157030e-15)	(2.2180233608e-02 -3.8574621681e-05 2.1789891149e-15)
1.9000000000e-05	object	(4.4703621387e-05 -1.1251663334e-02 -5.0312996600e-15)	(2.2353652789e-02 -3.9340084426e-05 2.1871925428e-15)
2.0000000000e-05	object	(4.8366450119e-05 -1.1393009929e-02 -5.0846172401e-15)	(2.2450216178e-02 -3.9895679315e-05 2.2721275623e-15)
2.1000000000e-05	object	(5.2012357599e-05 -1.1497810656e-02 -5.0713170256e-15)	(2.2485193559e-02 -4.0266144460e-05 2.3311251962e-15)
2.2000000000e-05	object	(5.5626516514e-05 -1.1571178289e-02 -5.1220901755e-15)	(2.2472133638e-02 -4.0476436544e-05 2.2893482887e-15)
2.3000000000e-05	object	(5.9196208835e-05 -1.1619939631e-02 -5.1087022371e-15)	(2.2423171331e-02 -4.0551346423e-05 2.3585046154e-15)
2.4000000000e-05	object	(6.2710261659e-05 -1.1646107271e-02 -5.0952894110e-15)	(2.2348597130e-02 -4.0514341539e-05 2.4521278216e-15)
2.5000000000e-05	object	(6.6159137585e-05 -1.1655805326e-02 -5.0818161109e-15)	(2.2257051057e-02 -4.0387238935e-05 2.7302385276e-15)
3.0000000000e-05	object	(8.2196416004e-05 -1.1549923485e-02 -5.9212702956e-15)	(2.1746622994e-02 -3.9018324391e-05 3.2207185092e-15)
4.0000000000e-05	object	(1.0752015188e-04 -1.1279654762e-02 -6.9947236090e-15)	(2.1216884454e-02 -3.6315019020e-05 3.4781116880e-15)
5.0000000000e-05	object	(1.2569327181e-04 -1.1267554915e-02 -7.2889681348e-15)	(2.1109826955e-02 -3.5111351271e-05 3.6774988072e-15)
6.0000000000e-05	object	(1.4019923213e-04 -1.1337243906e-02 -7.2950773875e-15)	(2.1031000146e-02 -3.4505740462e-05 4.0304758001e-15)
7.0000000000e-05	object	(1.5333705271e-04 -1.1401119625e-02 -7.5586216346e-15)	(2.0941325458e-02 -3.4066251401e-05 3.8844832755e-15)
8.0000000000e-05	object	(1.6598557547e-04 -1.1458368720e-02 -7.6060939977e-15)	(2.0857625730e-02 -3.3723391581e-05 4.3502178261e-15)
9.0000000000e-05	object	(1.7828854052e-04 -1.1515113005e-02 -7.6492064369e-15)	(2.0781110722e-02 -3.3450676729e-05 4.0428623938e-15)
1.0000000000e-04	object	(1.9019383692e-04 -1.1572431965e-02 -7.7004843670e-15)	(2.0709752340e-02 -3.3225885158e-05 4.4025802038e-15)
1.1000000000e-04	object	(2.0166917562e-04 -1.1629239937e-02 -7.8959943936e-15)	(2.0642556465e-02 -3.3035187622e-05 4.2356616086e-15)
1.2000000000e-04	object	(2.1273037223e-04 -1.1685666528e-02 -8.0234224647e-15)	(2.0578943426e-02 -3.2870273423e-05 4.3629038468e-15)
1.3000000000e-04	object	(-7.5220601345e+01 -3.3484798304e+00 -3.2307891482e-14)	(5.1670762240e-01 1.3430058625e+01 1.5658404866e-14)
1.4000000000e-04	object	(-6.7111604577e+01 -1.2376982049e+01 -3.6009201588e-14)	(1.5099213116e-01 2.5605400752e+01 2.5425766374e-14)
1.5000000000e-04	object	(-5.3117416301e+01 -2.4209035491e+01 -4.0273124229e-14)	(2.8337579392e-02 1.1352326966e+01 2.9250541602e-14)
1.6000000000e-04	object	(-5.5326292036e+01 -2.1584882388e+01 -4.1166769067e-14)	(3.1529658968e-04 -6.5421702174e-03 3.0585574266e-14)
